País,Indice,index_yf,Sigla
Brasil,Bovespa,^BVSP,BRA
US,S&P 500,^GSPC,USA
Canada,S&P/TSX,^GSPTSE,CAN
Mexico,S&P/BMV IPC,^MXX,MEX
China,Shanghai,000001.SS,CHN
Alemanha,DAX,^GDAXI,DEU
Inglaterra,FTSE 100,^FTSE,GBR
Franca,CAC 40,^FCHI,FRA
Espanha,IBEX 35,^IBEX,ESP
Italia,FTSE MIB,FTSEMIB.MI,ITA
Portugal,PSI 20,PSI20.LS,PRT
Índia,BSE Sensex,^BSESN,IND
Japão,Nikkei 225,^N225,JPN
Russia,MOEX,IMOEX.ME,RUS
Australia,S&P/ASX 200,^AXAT,AUS
Hungria,Budapest SE,^BFX,HUN
Bélgica,BEL 20,^BFX,BEL
Argentina,MERVAL,^MERV,ARG